Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Development),Custom field (Rank),Sprint,Custom field (Story point estimate),Parent,Parent summary,Status Category
Allow user to click on paint budget calculator,AP-36,10045,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,mayuri rokade,62c2716a2c528400c9b55af1,mayuri rokade,62c2716a2c528400c9b55af1,mayuri rokade,62c2716a2c528400c9b55af1,7/5/2022 8:29,7/11/2022 10:23,7/11/2022 11:08,7/11/2022 6:29,,0,"# User should enter the following website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 
# After that click on Paints and textures tab
# Once clicking on paints and textures tab user will able to see paint budget calculator heading
# User should click on paint budget calculator heading which will show new page.
# In new page user has to select type of painting whether it is fresh painting or re-painting
# After this user has to select whether painting is for exterior or interior and also the size of the home
# After selecting size of the home  user should select carpet area
# After selecting all this option their is calculate now button user need to click on that button which will calculate the entire paint budget",,mayuri rokade,62c2716a2c528400c9b55af1,,,,,,,,,,AP-118,AP-119,AP-144,,0|i0001z:14,AP Sprint 1,13,10053,Paints and textures tab,Done
Allow user to click on exterior textures,AP-35,10044,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,mayuri rokade,62c2716a2c528400c9b55af1,mayuri rokade,62c2716a2c528400c9b55af1,mayuri rokade,62c2716a2c528400c9b55af1,7/5/2022 8:26,7/11/2022 10:24,7/11/2022 11:08,7/8/2022 6:14,,0,"# Ask user to click on Asian paints website[https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 
# After that click on Paints and textures tab
# Once clicking on paints and textures tab user will able to see interior textures heading
# User should click on interior textures heading which will show new page with various exterior texture

Acceptance criteria

After clicking on exterior textures tab user will see new page with various textures .",,mayuri rokade,62c2716a2c528400c9b55af1,,,,,,,,,,AP-116,AP-114,,,0|i00020:d1,AP Sprint 1,12,10053,Paints and textures tab,Done
Allow user to select WoodTech Range in wood paints of wood and metals,AP-34,10043,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 7:30,7/11/2022 9:35,7/11/2022 11:08,7/8/2022 6:14,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Texture tab

3.Open wood and metals

4.Click on wood paints

5.Click on WoodTech Range

Acceptance Criteria:

User should be able to click on any option in WoodTech Range",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-96,AP-97,,,0|i00020:di,AP Sprint 1,6,10053,Paints and textures tab,Done
Allow user to click on Wood Paints in  wood and metal of Paints and Texture,AP-32,10041,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 7:25,7/11/2022 9:35,7/11/2022 11:08,7/8/2022 5:46,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Texture

3.Click on Wood and metals

4.Click on Wood paints

Acceptance Criteria:

User should be able to click on Wood paints in wood and metals",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-94,AP-95,,,0|i00020:h,AP Sprint 1,4,10053,Paints and textures tab,Done
Allow user to click on radio button of Add to compare in waterproofing,AP-29,10038,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 7:12,7/11/2022 9:35,7/11/2022 11:08,7/8/2022 6:14,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Texture

3.Open Waterproofing

4.Click on terrace and Tanks

5.Click on radio button in front of Add to compare

Acceptance criteria:

User should be able to click on Add to compare",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-92,AP-93,,,0|i00020:e,AP Sprint 1,7,10053,Paints and textures tab,Done
Allow user to click on Terrace and tanks in Waterproofing,AP-28,10037,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 7:09,7/11/2022 9:35,7/10/2022 13:58,7/8/2022 6:19,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Textures

3.Open Waterproofing

4.Click on Terrace and Tank

Acceptance Criteria:

User should be able to click on Terrace and Tank",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-90,AP-91,,,0|i0001z:2,AP Sprint 1,12,10053,Paints and textures tab,Done
Allow user to click on View Catalogue in texture finishes of exterior,AP-26,10035,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 7:00,7/11/2022 9:35,7/5/2022 7:02,7/8/2022 6:19,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Texture

3.Open Exterior

4.Click on Texture finishes

5.Click on View Catalogue

Acceptance Criteria:

User should be able to click on View Catalogue",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-88,AP-89,,,0|i0001z:4,AP Sprint 1,10,10053,Paints and textures tab,Done
User can login through Mobile number,AP-23,10032,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,7/5/2022 6:55,7/11/2022 9:23,7/11/2022 9:23,7/8/2022 7:02,,0,"User can login through Mobile number

Acceptance criteria:

# User should go to [https://www.asianpaints.com/my-wishlist.html|https://www.asianpaints.com/my-wishlist.html|smart-link]  link for login
# User should be allowed to login with valid mobile number
# User should navigate to Register page
#  User should be allowed to  enter valid name
# User should be allowed to enter valid email
# User should be allowed to enter OTP
# User should be allowed to create an account by submitting information using Submit",,Muskan Mourya,62c26a539763a5e6026ee146,,,,,,,,,,AP-47,AP-48,AP-140,,0|i00022:vh4,AP Sprint 1,14,10052,Home page.,Done
Allow user to click on Textured Finishes in exterior,AP-22,10031,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 6:55,7/11/2022 9:35,7/8/2022 9:55,7/11/2022 6:29,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Texture tab

3.Open Exterior

4.Click on Textured Finishes

Acceptance Criteria:

User should be able to click on Textured finishes

After clicking new page should be ope",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-85,AP-87,AP-131,,0|i0001z:19,AP Sprint 1,2,10053,Paints and textures tab,Done
Allow user to select any color from wall paints in Exterior,AP-21,10030,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 6:51,7/11/2022 9:36,7/11/2022 11:08,7/8/2022 5:49,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Texture Tab

3.Open exterior

4.Click on wall paints 

5.Click on color type

Acceptance criteria:

User should be able to select color type from All,Ace,Ultima,Apex",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-82,AP-83,,,0|i00022:hr,AP Sprint 1,10,10053,Paints and textures tab,Done
Allow user to click on Interior textures,AP-20,10029,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,mayuri rokade,62c2716a2c528400c9b55af1,mayuri rokade,62c2716a2c528400c9b55af1,mayuri rokade,62c2716a2c528400c9b55af1,7/5/2022 6:50,7/11/2022 9:34,7/11/2022 11:08,7/8/2022 6:14,,0,"# go to asian paints website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 
# After that click on Paints and textures tab
# Once clicking on paints and textures tab user will able to see interior textures heading 
# User should click on interior textures heading which will show new page with various interior texture

Acceptance criteria

After clicking on interior textures tab user will see new page with various textures .",,mayuri rokade,62c2716a2c528400c9b55af1,,,,,,,,,,AP-110,AP-112,,,0|i00020:d2,AP Sprint 1,10,10053,Paints and textures tab,Done
Allow the user to select color selection tool ,AP-19,10028,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Sukanya Pucheti,62c26a102c528400c9b558f1,Sukanya Pucheti,62c26a102c528400c9b558f1,Sukanya Pucheti,62c26a102c528400c9b558f1,7/5/2022 6:50,7/11/2022 9:25,7/11/2022 11:08,7/8/2022 7:03,,0,"Allow the user to select color selection tool 

# Go to the website[https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link]
# Go to the shop tab.
# It display various categories, choose color selection tool.
# Click on the color selection tool.
# Select the color selection tool.",,Sukanya Pucheti,62c26a102c528400c9b558f1,,,,,,,,,,AP-76,AP-79,,,0|i0009l:,AP Sprint 1,14,10055,Shop,Done
